---------Preisupdate vom 30.09.2015 ----------
Artikelnr 902569 : Preis 1.72 => 1.71, region = 2001
Artikelnr 104050 : Preis Neu => 2.24, region = 2001
Artikelnr 104086 : Preis Neu => 2.72, region = 2001
Artikelnr 104098 : Preis Neu => 2.89, region = 2001
Artikelnr 104128 : Preis Neu => 3.03, region = 2001
Artikelnr 104130 : Preis Neu => 3.32, region = 2001
Artikelnr 104165 : Preis Neu => 4.34, region = 2001
Artikelnr 104177 : Preis Neu => 4.69, region = 2001
Artikelnr 104712 : Preis Neu => 0.32, region = 2001
Artikelnr 104736 : Preis Neu => 0.33, region = 2001
Artikelnr 104748 : Preis Neu => 0.28, region = 2001
Artikelnr 104797 : Preis Neu => 0.31, region = 2001
Artikelnr 104852 : Preis Neu => 0.48, region = 2001
Artikelnr 104864 : Preis Neu => 0.58, region = 2001
Artikelnr 104876 : Preis Neu => 0.51, region = 2001
Artikelnr 104906 : Preis Neu => 0.51, region = 2001
Artikelnr 104943 : Preis Neu => 0.65, region = 2001
Artikelnr 105194 : Preis Neu => 0.00, region = 2001
Artikelnr 105200 : Preis Neu => 0.01, region = 2001
Artikelnr 105297 : Preis Neu => 0.01, region = 2001
Artikelnr 105364 : Preis Neu => 0.03, region = 2001
Artikelnr 105390 : Preis Neu => 0.01, region = 2001
Artikelnr 105418 : Preis Neu => 0.03, region = 2001
Artikelnr 105420 : Preis Neu => 0.03, region = 2001
Artikelnr 105431 : Preis Neu => 0.03, region = 2001
Artikelnr 105467 : Preis Neu => 0.04, region = 2001
Artikelnr 105601 : Preis Neu => 0.08, region = 2001
Artikelnr 105704 : Preis Neu => 0.01, region = 2001
Artikelnr 105730 : Preis Neu => 0.01, region = 2001
Artikelnr 105844 : Preis Neu => 0.05, region = 2001
Artikelnr 106058 : Preis Neu => 0.02, region = 2001
Artikelnr 106265 : Preis Neu => 0.14, region = 2001
Artikelnr 106629 : Preis Neu => 0.02, region = 2001
Artikelnr 106642 : Preis Neu => 0.01, region = 2001
Artikelnr 106691 : Preis Neu => 0.08, region = 2001
Artikelnr 106745 : Preis Neu => 0.04, region = 2001
Artikelnr 106757 : Preis Neu => 0.05, region = 2001
Artikelnr 106770 : Preis Neu => 0.03, region = 2001
Artikelnr 106794 : Preis Neu => 0.01, region = 2001
Artikelnr 106824 : Preis Neu => 0.02, region = 2001
Artikelnr 106850 : Preis Neu => 0.07, region = 2001
Artikelnr 106885 : Preis Neu => 0.02, region = 2001
Artikelnr 106903 : Preis Neu => 0.02, region = 2001
Artikelnr 106915 : Preis Neu => 0.04, region = 2001
Artikelnr 106927 : Preis Neu => 0.08, region = 2001
Artikelnr 106939 : Preis Neu => 0.03, region = 2001
Artikelnr 106990 : Preis Neu => 0.01, region = 2001
Artikelnr 107075 : Preis Neu => 0.00, region = 2001
Artikelnr 107087 : Preis Neu => 0.01, region = 2001
Artikelnr 107142 : Preis Neu => 0.00, region = 2001
Artikelnr 107180 : Preis Neu => 0.01, region = 2001
Artikelnr 107324 : Preis Neu => 0.33, region = 2001
Artikelnr 107427 : Preis Neu => 3.70, region = 2001
Artikelnr 107531 : Preis Neu => 0.63, region = 2001
Artikelnr 107804 : Preis Neu => 0.67, region = 2001
Artikelnr 107816 : Preis Neu => 0.89, region = 2001
Artikelnr 107828 : Preis Neu => 1.07, region = 2001
Artikelnr 107830 : Preis Neu => 1.25, region = 2001
Artikelnr 107853 : Preis Neu => 1.98, region = 2001
Artikelnr 107865 : Preis Neu => 2.85, region = 2001
Artikelnr 107877 : Preis Neu => 3.82, region = 2001
Artikelnr 107889 : Preis Neu => 5.44, region = 2001
Artikelnr 108006 : Preis Neu => 1.11, region = 2001
Artikelnr 108055 : Preis Neu => 0.31, region = 2001
Artikelnr 108079 : Preis Neu => 1.91, region = 2001
Artikelnr 108110 : Preis Neu => 0.42, region = 2001
Artikelnr 108286 : Preis Neu => 0.01, region = 2001
Artikelnr 108304 : Preis Neu => 0.01, region = 2001
Artikelnr 108330 : Preis Neu => 0.02, region = 2001
Artikelnr 108341 : Preis Neu => 0.04, region = 2001
Artikelnr 108365 : Preis Neu => 0.07, region = 2001
Artikelnr 108389 : Preis Neu => 0.01, region = 2001
Artikelnr 108419 : Preis Neu => 0.01, region = 2001
Artikelnr 108420 : Preis Neu => 0.01, region = 2001
Artikelnr 108444 : Preis Neu => 0.01, region = 2001
Artikelnr 108468 : Preis Neu => 0.01, region = 2001
Artikelnr 108500 : Preis Neu => 0.11, region = 2001
Artikelnr 109151 : Preis Neu => 0.02, region = 2001
Artikelnr 109424 : Preis Neu => 0.01, region = 2001
Artikelnr 109436 : Preis Neu => 0.01, region = 2001
Artikelnr 109473 : Preis Neu => 0.01, region = 2001
Artikelnr 109497 : Preis Neu => 0.01, region = 2001
Artikelnr 109503 : Preis Neu => 0.02, region = 2001
Artikelnr 109539 : Preis Neu => 0.01, region = 2001
Artikelnr 109576 : Preis Neu => 0.01, region = 2001
Artikelnr 109620 : Preis Neu => 0.01, region = 2001
Artikelnr 109679 : Preis Neu => 0.03, region = 2001
Artikelnr 109680 : Preis Neu => 0.07, region = 2001
Artikelnr 109734 : Preis Neu => 0.01, region = 2001
Artikelnr 109758 : Preis Neu => 0.01, region = 2001
Artikelnr 109771 : Preis Neu => 0.01, region = 2001
Artikelnr 109801 : Preis Neu => 0.01, region = 2001
Artikelnr 109825 : Preis Neu => 0.02, region = 2001
Artikelnr 109837 : Preis Neu => 0.01, region = 2001
Artikelnr 109850 : Preis Neu => 0.01, region = 2001
Artikelnr 109874 : Preis Neu => 0.05, region = 2001
Artikelnr 109886 : Preis Neu => 0.02, region = 2001
Artikelnr 109941 : Preis Neu => 0.08, region = 2001
Artikelnr 109977 : Preis Neu => 0.01, region = 2001
Artikelnr 109990 : Preis Neu => 0.01, region = 2001
Artikelnr 110017 : Preis Neu => 0.00, region = 2001
Artikelnr 110029 : Preis Neu => 0.01, region = 2001
Artikelnr 110042 : Preis Neu => 0.01, region = 2001
Artikelnr 110704 : Preis Neu => 2.40, region = 2001
Artikelnr 111150 : Preis Neu => 2.61, region = 2001
Artikelnr 111174 : Preis Neu => 2.61, region = 2001
Artikelnr 111204 : Preis Neu => 2.54, region = 2001
Artikelnr 111230 : Preis Neu => 2.66, region = 2001
Artikelnr 111241 : Preis Neu => 2.15, region = 2001
Artikelnr 111344 : Preis Neu => 26.44, region = 2001
Artikelnr 111368 : Preis Neu => 105.12, region = 2001
Artikelnr 111423 : Preis Neu => 16.28, region = 2001
Artikelnr 111459 : Preis Neu => 9.08, region = 2001
Artikelnr 111472 : Preis Neu => 16.67, region = 2001
Artikelnr 111502 : Preis Neu => 2.94, region = 2001
Artikelnr 111587 : Preis Neu => 4.83, region = 2001
Artikelnr 111617 : Preis Neu => 6.21, region = 2001
Artikelnr 111629 : Preis Neu => 17.83, region = 2001
Artikelnr 111642 : Preis Neu => 8.00, region = 2001
Artikelnr 111757 : Preis Neu => 1.71, region = 2001
Artikelnr 111770 : Preis Neu => 2.48, region = 2001
Artikelnr 111782 : Preis Neu => 3.22, region = 2001
Artikelnr 111794 : Preis Neu => 3.58, region = 2001
Artikelnr 111800 : Preis Neu => 5.04, region = 2001
Artikelnr 111812 : Preis Neu => 5.47, region = 2001
Artikelnr 111824 : Preis Neu => 10.43, region = 2001
Artikelnr 111836 : Preis Neu => 7.31, region = 2001
Artikelnr 111848 : Preis Neu => 10.58, region = 2001
Artikelnr 111850 : Preis Neu => 13.04, region = 2001
Artikelnr 111861 : Preis Neu => 25.77, region = 2001
Artikelnr 111873 : Preis Neu => 4.40, region = 2001
Artikelnr 111885 : Preis Neu => 3.31, region = 2001
Artikelnr 111897 : Preis Neu => 5.57, region = 2001
Artikelnr 111903 : Preis Neu => 6.99, region = 2001
Artikelnr 111915 : Preis Neu => 7.08, region = 2001
Artikelnr 111927 : Preis Neu => 11.15, region = 2001
Artikelnr 111939 : Preis Neu => 12.14, region = 2001
Artikelnr 111940 : Preis Neu => 15.01, region = 2001
Artikelnr 111952 : Preis Neu => 26.90, region = 2001
Artikelnr 111964 : Preis Neu => 42.82, region = 2001
Artikelnr 111976 : Preis Neu => 2.71, region = 2001
Artikelnr 111988 : Preis Neu => 3.34, region = 2001
Artikelnr 111990 : Preis Neu => 3.96, region = 2001
Artikelnr 112002 : Preis Neu => 4.49, region = 2001
Artikelnr 112014 : Preis Neu => 7.08, region = 2001
Artikelnr 112026 : Preis Neu => 11.15, region = 2001
Artikelnr 112038 : Preis Neu => 12.22, region = 2001
Artikelnr 112040 : Preis Neu => 15.01, region = 2001
Artikelnr 112051 : Preis Neu => 26.96, region = 2001
Artikelnr 112063 : Preis Neu => 42.82, region = 2001
Artikelnr 112105 : Preis Neu => 4.20, region = 2001
Artikelnr 112117 : Preis Neu => 4.09, region = 2001
Artikelnr 112129 : Preis Neu => 4.83, region = 2001
Artikelnr 112142 : Preis Neu => 7.01, region = 2001
Artikelnr 112166 : Preis Neu => 8.69, region = 2001
Artikelnr 112180 : Preis Neu => 9.92, region = 2001
Artikelnr 112208 : Preis Neu => 15.98, region = 2001
Artikelnr 112221 : Preis Neu => 25.41, region = 2001
Artikelnr 112233 : Preis Neu => 25.41, region = 2001
Artikelnr 112312 : Preis Neu => 5.75, region = 2001
Artikelnr 112324 : Preis Neu => 7.36, region = 2001
Artikelnr 112336 : Preis Neu => 8.34, region = 2001
Artikelnr 112348 : Preis Neu => 10.35, region = 2001
Artikelnr 112361 : Preis Neu => 15.70, region = 2001
Artikelnr 112373 : Preis Neu => 24.55, region = 2001
Artikelnr 112397 : Preis Neu => 12.30, region = 2001
Artikelnr 112403 : Preis Neu => 14.90, region = 2001
Artikelnr 112580 : Preis Neu => 0.36, region = 2001
Artikelnr 112609 : Preis Neu => 0.42, region = 2001
Artikelnr 112622 : Preis Neu => 1.66, region = 2001
Artikelnr 112646 : Preis Neu => 0.56, region = 2001
Artikelnr 112660 : Preis Neu => 2.51, region = 2001
Artikelnr 112671 : Preis Neu => 0.49, region = 2001
Artikelnr 112737 : Preis Neu => 0.47, region = 2001
Artikelnr 112750 : Preis Neu => 0.52, region = 2001
Artikelnr 112919 : Preis Neu => 0.65, region = 2001
Artikelnr 113018 : Preis Neu => 2.09, region = 2001
Artikelnr 113079 : Preis Neu => 2.50, region = 2001
Artikelnr 113110 : Preis Neu => 1.21, region = 2001
Artikelnr 113146 : Preis Neu => 1.22, region = 2001
Artikelnr 113213 : Preis Neu => 7.06, region = 2001
Artikelnr 113225 : Preis Neu => 1.23, region = 2001
Artikelnr 113237 : Preis Neu => 1.60, region = 2001
Artikelnr 113584 : Preis Neu => 0.04, region = 2001
Artikelnr 113596 : Preis Neu => 0.07, region = 2001
Artikelnr 113602 : Preis Neu => 0.09, region = 2001
Artikelnr 113638 : Preis Neu => 0.11, region = 2001
Artikelnr 113663 : Preis Neu => 0.76, region = 2001
Artikelnr 113687 : Preis Neu => 1.95, region = 2001
Artikelnr 113699 : Preis Neu => 2.77, region = 2001
Artikelnr 113791 : Preis Neu => 0.87, region = 2001
Artikelnr 113845 : Preis Neu => 1.22, region = 2001
Artikelnr 113857 : Preis Neu => 0.18, region = 2001
Artikelnr 113869 : Preis Neu => 0.20, region = 2001
Artikelnr 113870 : Preis Neu => 0.14, region = 2001
Artikelnr 113894 : Preis Neu => 0.36, region = 2001
Artikelnr 113900 : Preis Neu => 0.43, region = 2001
Artikelnr 113912 : Preis Neu => 0.35, region = 2001
Artikelnr 114060 : Preis Neu => 0.60, region = 2001
Artikelnr 114072 : Preis Neu => 0.44, region = 2001
Artikelnr 114084 : Preis Neu => 0.51, region = 2001
Artikelnr 114096 : Preis Neu => 1.23, region = 2001
Artikelnr 114102 : Preis Neu => 1.86, region = 2001
Artikelnr 114114 : Preis Neu => 2.40, region = 2001
Artikelnr 114138 : Preis Neu => 0.28, region = 2001
Artikelnr 114140 : Preis Neu => 0.42, region = 2001
Artikelnr 114151 : Preis Neu => 0.63, region = 2001
Artikelnr 114163 : Preis Neu => 1.33, region = 2001
Artikelnr 114175 : Preis Neu => 2.24, region = 2001
Artikelnr 114187 : Preis Neu => 2.60, region = 2001
Artikelnr 114280 : Preis Neu => 0.25, region = 2001
Artikelnr 114928 : Preis Neu => 8.33, region = 2001
Artikelnr 115052 : Preis Neu => 8.02, region = 2001
Artikelnr 115088 : Preis Neu => 8.33, region = 2001
Artikelnr 115131 : Preis Neu => 0.04, region = 2001
Artikelnr 115398 : Preis Neu => 9.84, region = 2001
Artikelnr 115428 : Preis Neu => 18.50, region = 2001
Artikelnr 116093 : Preis Neu => 0.03, region = 2001
Artikelnr 116123 : Preis Neu => 0.05, region = 2001
Artikelnr 116147 : Preis Neu => 0.00, region = 2001
Artikelnr 116196 : Preis Neu => 0.11, region = 2001
Artikelnr 116240 : Preis Neu => 0.79, region = 2001
Artikelnr 116512 : Preis Neu => 25.79, region = 2001
Artikelnr 116676 : Preis Neu => 3.98, region = 2001
Artikelnr 116986 : Preis Neu => 2.16, region = 2001
Artikelnr 117528 : Preis Neu => 2.62, region = 2001
Artikelnr 117530 : Preis Neu => 3.01, region = 2001
Artikelnr 117541 : Preis Neu => 3.36, region = 2001
Artikelnr 117553 : Preis Neu => 3.71, region = 2001
Artikelnr 117565 : Preis Neu => 0.64, region = 2001
Artikelnr 117577 : Preis Neu => 0.97, region = 2001
Artikelnr 117590 : Preis Neu => 2.14, region = 2001
Artikelnr 117632 : Preis Neu => 0.67, region = 2001
Artikelnr 117644 : Preis Neu => 1.06, region = 2001
Artikelnr 117668 : Preis Neu => 1.12, region = 2001
Artikelnr 117700 : Preis Neu => 0.33, region = 2001
Artikelnr 117711 : Preis Neu => 0.58, region = 2001
Artikelnr 117723 : Preis Neu => 0.96, region = 2001
Artikelnr 117735 : Preis Neu => 1.71, region = 2001
Artikelnr 117747 : Preis Neu => 2.25, region = 2001
Artikelnr 117759 : Preis Neu => 3.00, region = 2001
Artikelnr 117802 : Preis Neu => 1.25, region = 2001
Artikelnr 117814 : Preis Neu => 0.79, region = 2001
Artikelnr 117826 : Preis Neu => 1.14, region = 2001
Artikelnr 117838 : Preis Neu => 1.70, region = 2001
Artikelnr 117840 : Preis Neu => 2.24, region = 2001
Artikelnr 118170 : Preis Neu => 0.43, region = 2001
Artikelnr 118223 : Preis Neu => 0.57, region = 2001
Artikelnr 118247 : Preis Neu => 0.83, region = 2001
Artikelnr 118259 : Preis Neu => 2.83, region = 2001
Artikelnr 118314 : Preis Neu => 0.78, region = 2001
Artikelnr 118326 : Preis Neu => 0.76, region = 2001
Artikelnr 118338 : Preis Neu => 0.79, region = 2001
Artikelnr 118363 : Preis Neu => 1.62, region = 2001
Artikelnr 118399 : Preis Neu => 0.89, region = 2001
Artikelnr 118429 : Preis Neu => 0.91, region = 2001
Artikelnr 118442 : Preis Neu => 5.20, region = 2001
Artikelnr 118466 : Preis Neu => 2.19, region = 2001
Artikelnr 118478 : Preis Neu => 1.78, region = 2001
Artikelnr 118480 : Preis Neu => 32.50, region = 2001
Artikelnr 118491 : Preis Neu => 2.36, region = 2001
Artikelnr 118508 : Preis Neu => 1.88, region = 2001
Artikelnr 118521 : Preis Neu => 2.34, region = 2001
Artikelnr 118533 : Preis Neu => 2.09, region = 2001
Artikelnr 118600 : Preis Neu => 5.16, region = 2001
Artikelnr 118612 : Preis Neu => 2.45, region = 2001
Artikelnr 118624 : Preis Neu => 6.31, region = 2001
Artikelnr 118636 : Preis Neu => 2.40, region = 2001
Artikelnr 118648 : Preis Neu => 3.15, region = 2001
Artikelnr 118650 : Preis Neu => 2.63, region = 2001
Artikelnr 118715 : Preis Neu => 8.76, region = 2001
Artikelnr 118727 : Preis Neu => 3.50, region = 2001
Artikelnr 118740 : Preis Neu => 3.01, region = 2001
Artikelnr 118752 : Preis Neu => 4.15, region = 2001
Artikelnr 118776 : Preis Neu => 3.39, region = 2001
Artikelnr 119227 : Preis Neu => 1.50, region = 2001
Artikelnr 119239 : Preis Neu => 1.21, region = 2001
Artikelnr 119252 : Preis Neu => 0.81, region = 2001
Artikelnr 119288 : Preis Neu => 1.52, region = 2001
Artikelnr 119290 : Preis Neu => 1.86, region = 2001
Artikelnr 119306 : Preis Neu => 1.19, region = 2001
Artikelnr 119320 : Preis Neu => 31.48, region = 2001
Artikelnr 119331 : Preis Neu => 30.67, region = 2001
Artikelnr 119355 : Preis Neu => 1.33, region = 2001
Artikelnr 119367 : Preis Neu => 1.85, region = 2001
Artikelnr 119392 : Preis Neu => 2.27, region = 2001
Artikelnr 119409 : Preis Neu => 5.36, region = 2001
Artikelnr 119446 : Preis Neu => 1.60, region = 2001
Artikelnr 119458 : Preis Neu => 2.71, region = 2001
Artikelnr 119483 : Preis Neu => 31.66, region = 2001
Artikelnr 119501 : Preis Neu => 1.91, region = 2001
Artikelnr 119513 : Preis Neu => 4.00, region = 2001
Artikelnr 119549 : Preis Neu => 2.22, region = 2001
Artikelnr 119550 : Preis Neu => 2.18, region = 2001
Artikelnr 119574 : Preis Neu => 2.58, region = 2001
Artikelnr 119586 : Preis Neu => 5.52, region = 2001
Artikelnr 119628 : Preis Neu => 2.96, region = 2001
Artikelnr 119630 : Preis Neu => 2.39, region = 2001
Artikelnr 119641 : Preis Neu => 33.12, region = 2001
Artikelnr 119677 : Preis Neu => 2.21, region = 2001
Artikelnr 119689 : Preis Neu => 34.75, region = 2001
Artikelnr 119719 : Preis Neu => 2.77, region = 2001
Artikelnr 119720 : Preis Neu => 5.13, region = 2001
Artikelnr 119756 : Preis Neu => 2.75, region = 2001
Artikelnr 119768 : Preis Neu => 2.64, region = 2001
Artikelnr 119793 : Preis Neu => 3.14, region = 2001
Artikelnr 119800 : Preis Neu => 3.04, region = 2001
Artikelnr 119823 : Preis Neu => 3.76, region = 2001
Artikelnr 119835 : Preis Neu => 3.26, region = 2001
Artikelnr 119963 : Preis Neu => 1.07, region = 2001
Artikelnr 120246 : Preis Neu => 6.94, region = 2001
Artikelnr 120416 : Preis Neu => 0.70, region = 2001
Artikelnr 120532 : Preis Neu => 0.26, region = 2001
Artikelnr 120544 : Preis Neu => 0.29, region = 2001
Artikelnr 120556 : Preis Neu => 0.43, region = 2001
Artikelnr 120568 : Preis Neu => 0.39, region = 2001
Artikelnr 120593 : Preis Neu => 0.48, region = 2001
Artikelnr 120611 : Preis Neu => 0.68, region = 2001
Artikelnr 120660 : Preis Neu => 2.36, region = 2001
Artikelnr 120726 : Preis Neu => 0.49, region = 2001
Artikelnr 120738 : Preis Neu => 0.54, region = 2001
Artikelnr 120740 : Preis Neu => 0.65, region = 2001
Artikelnr 120799 : Preis Neu => 2.42, region = 2001
Artikelnr 120910 : Preis Neu => 1.23, region = 2001
Artikelnr 120994 : Preis Neu => 0.87, region = 2001
Artikelnr 121007 : Preis Neu => 1.21, region = 2001
Artikelnr 121032 : Preis Neu => 1.25, region = 2001
Artikelnr 121172 : Preis Neu => 1.45, region = 2001
Artikelnr 121184 : Preis Neu => 1.64, region = 2001
Artikelnr 121196 : Preis Neu => 1.91, region = 2001
Artikelnr 121202 : Preis Neu => 3.15, region = 2001
Artikelnr 121214 : Preis Neu => 3.69, region = 2001
Artikelnr 121226 : Preis Neu => 6.10, region = 2001
Artikelnr 121299 : Preis Neu => 1.62, region = 2001
Artikelnr 121305 : Preis Neu => 1.70, region = 2001
Artikelnr 121329 : Preis Neu => 10.93, region = 2001
Artikelnr 121342 : Preis Neu => 1.42, region = 2001
Artikelnr 121354 : Preis Neu => 1.70, region = 2001
Artikelnr 121366 : Preis Neu => 2.11, region = 2001
Artikelnr 121378 : Preis Neu => 3.40, region = 2001
Artikelnr 121391 : Preis Neu => 6.76, region = 2001
Artikelnr 121433 : Preis Neu => 1.77, region = 2001
Artikelnr 122036 : Preis Neu => 0.87, region = 2001
Artikelnr 122048 : Preis Neu => 1.10, region = 2001
Artikelnr 122061 : Preis Neu => 1.61, region = 2001
Artikelnr 122097 : Preis Neu => 2.30, region = 2001
Artikelnr 122395 : Preis Neu => 7.81, region = 2001
Artikelnr 122425 : Preis Neu => 7.42, region = 2001
Artikelnr 122619 : Preis Neu => 6.81, region = 2001
Artikelnr 122620 : Preis Neu => 6.81, region = 2001
Artikelnr 122632 : Preis Neu => 123.64, region = 2001
Artikelnr 122656 : Preis Neu => 120.42, region = 2001
Artikelnr 122693 : Preis Neu => 157.36, region = 2001
Artikelnr 122711 : Preis Neu => 157.56, region = 2001
Artikelnr 122759 : Preis Neu => 201.78, region = 2001
Artikelnr 122772 : Preis Neu => 205.00, region = 2001
Artikelnr 123041 : Preis Neu => 3.45, region = 2001
Artikelnr 123235 : Preis Neu => 43.91, region = 2001
Artikelnr 123259 : Preis Neu => 2.19, region = 2001
Artikelnr 123284 : Preis Neu => 14.07, region = 2001
Artikelnr 123296 : Preis Neu => 14.34, region = 2001
Artikelnr 123302 : Preis Neu => 2.48, region = 2001
Artikelnr 123417 : Preis Neu => 2.71, region = 2001
Artikelnr 123442 : Preis Neu => 3.95, region = 2001
Artikelnr 123454 : Preis Neu => 9.59, region = 2001
Artikelnr 123466 : Preis Neu => 10.32, region = 2001
Artikelnr 123478 : Preis Neu => 10.17, region = 2001
Artikelnr 123867 : Preis Neu => 16.28, region = 2001
Artikelnr 123879 : Preis Neu => 14.63, region = 2001
Artikelnr 123880 : Preis Neu => 14.39, region = 2001
Artikelnr 123892 : Preis Neu => 16.38, region = 2001
Artikelnr 123909 : Preis Neu => 15.26, region = 2001
Artikelnr 123922 : Preis Neu => 9.32, region = 2001
Artikelnr 123960 : Preis Neu => 22.08, region = 2001
Artikelnr 124173 : Preis Neu => 1.89, region = 2001
Artikelnr 124197 : Preis Neu => 2.03, region = 2001
Artikelnr 124240 : Preis Neu => 6.99, region = 2001
Artikelnr 124276 : Preis Neu => 1.90, region = 2001
Artikelnr 124290 : Preis Neu => 2.39, region = 2001
Artikelnr 124392 : Preis Neu => 2.72, region = 2001
Artikelnr 124409 : Preis Neu => 1.40, region = 2001
Artikelnr 124410 : Preis Neu => 1.98, region = 2001
Artikelnr 124422 : Preis Neu => 15.44, region = 2001
Artikelnr 124434 : Preis Neu => 0.63, region = 2001
Artikelnr 124446 : Preis Neu => 0.85, region = 2001
Artikelnr 124458 : Preis Neu => 0.48, region = 2001
Artikelnr 124460 : Preis Neu => 1.76, region = 2001
Artikelnr 124471 : Preis Neu => 2.38, region = 2001
Artikelnr 124483 : Preis Neu => 1.99, region = 2001
Artikelnr 124550 : Preis Neu => 0.11, region = 2001
Artikelnr 124562 : Preis Neu => 0.07, region = 2001
Artikelnr 124574 : Preis Neu => 0.10, region = 2001
Artikelnr 124598 : Preis Neu => 0.02, region = 2001
Artikelnr 124800 : Preis Neu => 2.67, region = 2001
Artikelnr 124811 : Preis Neu => 2.68, region = 2001
Artikelnr 124823 : Preis Neu => 2.68, region = 2001
Artikelnr 124835 : Preis Neu => 2.70, region = 2001
Artikelnr 124847 : Preis Neu => 2.71, region = 2001
Artikelnr 124859 : Preis Neu => 2.73, region = 2001
Artikelnr 124860 : Preis Neu => 6.28, region = 2001
Artikelnr 124872 : Preis Neu => 6.31, region = 2001
Artikelnr 124884 : Preis Neu => 6.10, region = 2001
Artikelnr 124896 : Preis Neu => 6.38, region = 2001
Artikelnr 125001 : Preis Neu => 0.13, region = 2001
Artikelnr 125013 : Preis Neu => 0.14, region = 2001
Artikelnr 125025 : Preis Neu => 0.14, region = 2001
Artikelnr 125037 : Preis Neu => 0.16, region = 2001
Artikelnr 125049 : Preis Neu => 0.17, region = 2001
Artikelnr 125050 : Preis Neu => 0.19, region = 2001
Artikelnr 125062 : Preis Neu => 0.23, region = 2001
Artikelnr 125074 : Preis Neu => 0.25, region = 2001
Artikelnr 125086 : Preis Neu => 0.29, region = 2001
Artikelnr 125098 : Preis Neu => 0.57, region = 2001
Artikelnr 125104 : Preis Neu => 0.61, region = 2001
Artikelnr 125116 : Preis Neu => 0.88, region = 2001
Artikelnr 125566 : Preis Neu => 0.60, region = 2001
Artikelnr 125578 : Preis Neu => 0.74, region = 2001
Artikelnr 125608 : Preis Neu => 1.12, region = 2001
Artikelnr 125610 : Preis Neu => 1.38, region = 2001
Artikelnr 125633 : Preis Neu => 1.86, region = 2001
