---------Preisupdate vom 09.02.2015 ----------
Artikelnr 100640 : Preis Neu => 1.60, region = 2001
Artikelnr 112397 : Preis Neu => 12.30, region = 2001
Artikelnr 112403 : Preis Neu => 14.90, region = 2001
Artikelnr 113602 : Preis Neu => 0.09, region = 2001
Artikelnr 113638 : Preis Neu => 0.11, region = 2001
Artikelnr 113663 : Preis Neu => 0.76, region = 2001
Artikelnr 114084 : Preis 0.49 => 0.51, region = 2001
Artikelnr 116676 : Preis 4.82 => 3.98, region = 2001
Artikelnr 116986 : Preis Neu => 2.16, region = 2001
Artikelnr 117632 : Preis 0.62 => 0.67, region = 2001
Artikelnr 117668 : Preis 1.09 => 1.12, region = 2001
Artikelnr 117826 : Preis 1.11 => 1.14, region = 2001
Artikelnr 117838 : Preis 1.68 => 1.70, region = 2001
Artikelnr 117840 : Preis 2.21 => 2.24, region = 2001
Artikelnr 118314 : Preis 0.77 => 0.78, region = 2001
Artikelnr 118399 : Preis 0.87 => 0.89, region = 2001
Artikelnr 118429 : Preis 0.90 => 0.91, region = 2001
Artikelnr 118480 : Preis 7.58 => 32.50, region = 2001
Artikelnr 118740 : Preis 8.03 => 3.01, region = 2001
Artikelnr 119239 : Preis 1.18 => 1.21, region = 2001
Artikelnr 119252 : Preis Neu => 0.81, region = 2001
Artikelnr 119288 : Preis Neu => 1.52, region = 2001
Artikelnr 119290 : Preis Neu => 1.86, region = 2001
Artikelnr 119306 : Preis Neu => 1.19, region = 2001
Artikelnr 119320 : Preis Neu => 31.48, region = 2001
Artikelnr 119331 : Preis 2.98 => 30.67, region = 2001
Artikelnr 119355 : Preis 1.55 => 1.33, region = 2001
Artikelnr 119392 : Preis Neu => 2.27, region = 2001
Artikelnr 119409 : Preis 5.94 => 5.36, region = 2001
Artikelnr 119446 : Preis Neu => 1.60, region = 2001
Artikelnr 119501 : Preis Neu => 1.91, region = 2001
Artikelnr 119549 : Preis Neu => 2.22, region = 2001
Artikelnr 119550 : Preis Neu => 2.18, region = 2001
Artikelnr 119574 : Preis 4.87 => 2.58, region = 2001
Artikelnr 119586 : Preis 6.43 => 5.52, region = 2001
Artikelnr 119628 : Preis Neu => 2.96, region = 2001
Artikelnr 119630 : Preis Neu => 2.39, region = 2001
Artikelnr 119641 : Preis 5.43 => 33.12, region = 2001
Artikelnr 119677 : Preis Neu => 2.21, region = 2001
Artikelnr 119689 : Preis 9.83 => 34.75, region = 2001
Artikelnr 119719 : Preis Neu => 2.77, region = 2001
Artikelnr 119756 : Preis Neu => 2.75, region = 2001
Artikelnr 119768 : Preis 4.97 => 2.64, region = 2001
Artikelnr 119793 : Preis Neu => 3.14, region = 2001
Artikelnr 119800 : Preis Neu => 3.04, region = 2001
Artikelnr 119823 : Preis Neu => 3.76, region = 2001
Artikelnr 119835 : Preis Neu => 3.26, region = 2001
Artikelnr 119963 : Preis 2.27 => 1.07, region = 2001
Artikelnr 120246 : Preis 7.69 => 6.94, region = 2001
Artikelnr 120556 : Preis 0.41 => 0.43, region = 2001
Artikelnr 120568 : Preis 0.38 => 0.39, region = 2001
Artikelnr 120593 : Preis 0.46 => 0.48, region = 2001
Artikelnr 121007 : Preis Neu => 1.21, region = 2001
Artikelnr 121172 : Preis 1.39 => 1.45, region = 2001
Artikelnr 121184 : Preis 1.58 => 1.64, region = 2001
Artikelnr 121196 : Preis 1.83 => 1.91, region = 2001
Artikelnr 121202 : Preis 3.02 => 3.15, region = 2001
Artikelnr 121214 : Preis 3.54 => 3.69, region = 2001
Artikelnr 121226 : Preis 5.85 => 6.10, region = 2001
Artikelnr 121299 : Preis 2.44 => 1.62, region = 2001
Artikelnr 121305 : Preis Neu => 1.70, region = 2001
Artikelnr 121342 : Preis 1.36 => 1.42, region = 2001
Artikelnr 121354 : Preis 1.63 => 1.70, region = 2001
Artikelnr 121366 : Preis 2.06 => 2.11, region = 2001
Artikelnr 121378 : Preis 3.25 => 3.40, region = 2001
Artikelnr 121391 : Preis 6.48 => 6.76, region = 2001
Artikelnr 121433 : Preis 3.85 => 1.77, region = 2001
Artikelnr 123284 : Preis 1.78 => 14.07, region = 2001
Artikelnr 123296 : Preis 2.05 => 14.34, region = 2001
Artikelnr 123454 : Preis Neu => 9.59, region = 2001
Artikelnr 123466 : Preis Neu => 10.32, region = 2001
Artikelnr 123478 : Preis 10.53 => 10.17, region = 2001
Artikelnr 124173 : Preis 1.81 => 1.89, region = 2001
Artikelnr 124197 : Preis 4.44 => 2.03, region = 2001
Artikelnr 124240 : Preis Neu => 6.99, region = 2001
Artikelnr 124276 : Preis 1.85 => 1.90, region = 2001
Artikelnr 124290 : Preis 2.30 => 2.39, region = 2001
Artikelnr 124422 : Preis Neu => 15.44, region = 2001
Artikelnr 124446 : Preis 0.76 => 0.85, region = 2001
Artikelnr 124458 : Preis 0.46 => 0.48, region = 2001
Artikelnr 124800 : Preis 4.09 => 2.67, region = 2001
Artikelnr 124811 : Preis 4.10 => 2.68, region = 2001
Artikelnr 124823 : Preis 4.10 => 2.68, region = 2001
Artikelnr 124835 : Preis 4.12 => 2.70, region = 2001
Artikelnr 124847 : Preis 4.13 => 2.71, region = 2001
Artikelnr 124859 : Preis 4.15 => 2.73, region = 2001
Artikelnr 126157 : Preis Neu => 145.32, region = 2001
Artikelnr 126224 : Preis 2.84 => 2.92, region = 2001
Artikelnr 126303 : Preis 4.35 => 4.24, region = 2001
Artikelnr 126522 : Preis Neu => 220.37, region = 2001
Artikelnr 126546 : Preis Neu => 167.52, region = 2001
Artikelnr 126613 : Preis 82.71 => 56.40, region = 2001
Artikelnr 127058 : Preis 2.92 => 1.92, region = 2001
Artikelnr 127654 : Preis 6.23 => 11.74, region = 2001
Artikelnr 128087 : Preis Neu => 0.85, region = 2001
Artikelnr 128117 : Preis Neu => 0.03, region = 2001
Artikelnr 128245 : Preis Neu => 25.36, region = 2001
Artikelnr 128350 : Preis Neu => 0.06, region = 2001
Artikelnr 128683 : Preis Neu => 0.02, region = 2001
Artikelnr 128749 : Preis Neu => 0.01, region = 2001
Artikelnr 128907 : Preis 0.41 => 0.43, region = 2001
Artikelnr 129110 : Preis 0.05 => 0.04, region = 2001
Artikelnr 129158 : Preis Neu => 0.03, region = 2001
Artikelnr 129160 : Preis Neu => 0.06, region = 2001
Artikelnr 129171 : Preis Neu => 0.17, region = 2001
Artikelnr 129195 : Preis Neu => 23.01, region = 2001
Artikelnr 130001 : Preis 13.47 => 14.31, region = 2001
Artikelnr 130165 : Preis 19.01 => 19.84, region = 2001
Artikelnr 130177 : Preis 8.69 => 9.97, region = 2001
Artikelnr 130190 : Preis 5.87 => 7.42, region = 2001
Artikelnr 130980 : Preis 4.22 => 6.57, region = 2001
Artikelnr 131303 : Preis Neu => 10.88, region = 2001
Artikelnr 131765 : Preis 2.60 => 3.27, region = 2001
Artikelnr 131959 : Preis 19.75 => 25.59, region = 2001
Artikelnr 132174 : Preis 39.43 => 40.26, region = 2001
Artikelnr 132988 : Preis 0.33 => 0.27, region = 2001
Artikelnr 133567 : Preis 1.00 => 1.48, region = 2001
Artikelnr 133609 : Preis 1.82 => 0.43, region = 2001
Artikelnr 134080 : Preis 0.20 => 0.21, region = 2001
Artikelnr 134183 : Preis 7.00 => 7.21, region = 2001
Artikelnr 134547 : Preis Neu => 0.38, region = 2001
Artikelnr 134559 : Preis Neu => 0.50, region = 2001
Artikelnr 134560 : Preis Neu => 0.51, region = 2001
Artikelnr 135175 : Preis Neu => 315.98, region = 2001
Artikelnr 135953 : Preis Neu => 0.13, region = 2001
Artikelnr 136039 : Preis Neu => 0.01, region = 2001
Artikelnr 136052 : Preis Neu => 0.01, region = 2001
Artikelnr 136465 : Preis Neu => 19.57, region = 2001
Artikelnr 136490 : Preis Neu => 1.97, region = 2001
Artikelnr 137287 : Preis 7.84 => 8.07, region = 2001
Artikelnr 137445 : Preis Neu => 0.07, region = 2001
Artikelnr 137482 : Preis 0.10 => 0.12, region = 2001
Artikelnr 139168 : Preis Neu => 0.04, region = 2001
Artikelnr 139260 : Preis Neu => 0.18, region = 2001
Artikelnr 139399 : Preis Neu => 0.05, region = 2001
Artikelnr 139405 : Preis Neu => 0.07, region = 2001
Artikelnr 139430 : Preis Neu => 0.13, region = 2001
Artikelnr 139569 : Preis Neu => 0.37, region = 2001
Artikelnr 139594 : Preis Neu => 0.28, region = 2001
Artikelnr 139600 : Preis Neu => 0.66, region = 2001
Artikelnr 140175 : Preis Neu => 0.02, region = 2001
Artikelnr 140187 : Preis 2.65 => 2.83, region = 2001
Artikelnr 140746 : Preis Neu => 0.15, region = 2001
Artikelnr 140825 : Preis Neu => 10.80, region = 2001
Artikelnr 141106 : Preis 0.37 => 0.39, region = 2001
Artikelnr 141180 : Preis Neu => 11.05, region = 2001
Artikelnr 141209 : Preis Neu => 11.58, region = 2001
Artikelnr 141210 : Preis Neu => 14.18, region = 2001
Artikelnr 142391 : Preis Neu => 19.20, region = 2001
Artikelnr 142834 : Preis Neu => 0.32, region = 2001
Artikelnr 143176 : Preis Neu => 0.07, region = 2001
Artikelnr 143188 : Preis Neu => 0.04, region = 2001
Artikelnr 143190 : Preis 0.17 => 0.20, region = 2001
Artikelnr 143231 : Preis Neu => 0.08, region = 2001
Artikelnr 143243 : Preis Neu => 0.03, region = 2001
Artikelnr 144004 : Preis Neu => 0.04, region = 2001
Artikelnr 144132 : Preis Neu => 0.14, region = 2001
Artikelnr 150513 : Preis Neu => 0.07, region = 2001
Artikelnr 150999 : Preis Neu => 0.02, region = 2001
Artikelnr 151049 : Preis Neu => 0.15, region = 2001
Artikelnr 151074 : Preis Neu => 0.16, region = 2001
Artikelnr 151384 : Preis Neu => 0.27, region = 2001
Artikelnr 151803 : Preis Neu => 0.14, region = 2001
Artikelnr 152352 : Preis 0.57 => 0.43, region = 2001
Artikelnr 152807 : Preis Neu => 0.49, region = 2001
Artikelnr 152819 : Preis Neu => 0.00, region = 2001
Artikelnr 152960 : Preis Neu => 0.32, region = 2001
Artikelnr 152996 : Preis Neu => 0.38, region = 2001
Artikelnr 153253 : Preis Neu => 0.01, region = 2001
Artikelnr 153538 : Preis Neu => 0.05, region = 2001
Artikelnr 153540 : Preis Neu => 0.09, region = 2001
Artikelnr 161837 : Preis 0.02 => 0.01, region = 2001
Artikelnr 164917 : Preis 0.57 => 0.60, region = 2001
Artikelnr 165340 : Preis Neu => 2.21, region = 2001
Artikelnr 165818 : Preis Neu => 3.32, region = 2001
Artikelnr 166252 : Preis 2.73 => 2.81, region = 2001
Artikelnr 166495 : Preis Neu => 1.00, region = 2001
Artikelnr 166549 : Preis 2.23 => 2.01, region = 2001
Artikelnr 171732 : Preis 2.60 => 3.24, region = 2001
Artikelnr 173716 : Preis 0.70 => 0.71, region = 2001
Artikelnr 173984 : Preis 0.44 => 0.45, region = 2001
Artikelnr 174162 : Preis Neu => 0.28, region = 2001
Artikelnr 174423 : Preis 0.61 => 14.69, region = 2001
Artikelnr 175580 : Preis Neu => 0.04, region = 2001
Artikelnr 175634 : Preis 4.84 => 5.31, region = 2001
Artikelnr 176663 : Preis Neu => 0.34, region = 2001
Artikelnr 177965 : Preis Neu => 1.66, region = 2001
Artikelnr 179019 : Preis 87.93 => 63.00, region = 2001
Artikelnr 179226 : Preis Neu => 4.09, region = 2001
Artikelnr 179950 : Preis Neu => 14.76, region = 2001
Artikelnr 183258 : Preis Neu => 0.56, region = 2001
Artikelnr 183260 : Preis Neu => 1.08, region = 2001
Artikelnr 183271 : Preis Neu => 1.24, region = 2001
Artikelnr 184457 : Preis Neu => 9.31, region = 2001
Artikelnr 185577 : Preis Neu => 0.94, region = 2001
Artikelnr 185589 : Preis 0.83 => 0.92, region = 2001
Artikelnr 186004 : Preis 7.75 => 6.98, region = 2001
Artikelnr 186028 : Preis 7.75 => 6.98, region = 2001
Artikelnr 186041 : Preis 7.75 => 6.98, region = 2001
Artikelnr 186053 : Preis 7.75 => 6.98, region = 2001
Artikelnr 186077 : Preis 7.75 => 6.98, region = 2001
Artikelnr 186089 : Preis 7.75 => 6.98, region = 2001
Artikelnr 186090 : Preis 7.75 => 6.98, region = 2001
Artikelnr 186107 : Preis 7.75 => 6.98, region = 2001
Artikelnr 186119 : Preis 7.75 => 6.98, region = 2001
Artikelnr 186120 : Preis 7.75 => 6.98, region = 2001
Artikelnr 186170 : Preis 8.29 => 7.46, region = 2001
Artikelnr 186181 : Preis 8.29 => 7.46, region = 2001
Artikelnr 186193 : Preis 8.29 => 7.46, region = 2001
Artikelnr 186624 : Preis Neu => 1.97, region = 2001
Artikelnr 186636 : Preis Neu => 0.92, region = 2001
Artikelnr 186650 : Preis Neu => 0.80, region = 2001
Artikelnr 187033 : Preis Neu => 1.11, region = 2001
Artikelnr 187161 : Preis Neu => 0.23, region = 2001
Artikelnr 187800 : Preis 2.65 => 2.19, region = 2001
Artikelnr 188839 : Preis Neu => 0.72, region = 2001
Artikelnr 191776 : Preis 2.97 => 3.01, region = 2001
Artikelnr 192136 : Preis Neu => 0.51, region = 2001
Artikelnr 192227 : Preis Neu => 1.87, region = 2001
Artikelnr 193451 : Preis 0.68 => 0.49, region = 2001
Artikelnr 194170 : Preis Neu => 969.41, region = 2001
Artikelnr 194182 : Preis 50.00 => 51.64, region = 2001
Artikelnr 195368 : Preis 20.11 => 23.31, region = 2001
Artikelnr 197778 : Preis 0.43 => 0.36, region = 2001
Artikelnr 199465 : Preis 0.07 => 0.05, region = 2001
Artikelnr 199477 : Preis 0.09 => 0.05, region = 2001
Artikelnr 199672 : Preis Neu => 0.06, region = 2001
Artikelnr 199994 : Preis Neu => 0.09, region = 2001
Artikelnr 203430 : Preis 93.35 => 55.10, region = 2001
Artikelnr 203478 : Preis Neu => 0.44, region = 2001
Artikelnr 203594 : Preis 1.15 => 15.59, region = 2001
Artikelnr 204331 : Preis Neu => 1.66, region = 2001
Artikelnr 204355 : Preis Neu => 5.56, region = 2001
Artikelnr 205219 : Preis Neu => 74.94, region = 2001
Artikelnr 206200 : Preis 0.22 => 0.23, region = 2001
Artikelnr 206560 : Preis Neu => 12.27, region = 2001
Artikelnr 206649 : Preis Neu => 0.62, region = 2001
Artikelnr 206674 : Preis Neu => 0.29, region = 2001
Artikelnr 206730 : Preis Neu => 40.00, region = 2001
Artikelnr 206753 : Preis 4.73 => 3.59, region = 2001
Artikelnr 208361 : Preis 0.73 => 0.38, region = 2001
Artikelnr 209237 : Preis 152.31 => 137.50, region = 2001
Artikelnr 209808 : Preis Neu => 0.95, region = 2001
Artikelnr 209912 : Preis Neu => 0.25, region = 2001
Artikelnr 212836 : Preis 0.42 => 0.64, region = 2001
Artikelnr 212990 : Preis Neu => 2.65, region = 2001
Artikelnr 214195 : Preis 2.05 => 2.20, region = 2001
Artikelnr 214523 : Preis 0.94 => 0.75, region = 2001
Artikelnr 214766 : Preis Neu => 1.59, region = 2001
Artikelnr 215771 : Preis Neu => 0.75, region = 2001
Artikelnr 215928 : Preis 0.70 => 0.93, region = 2001
Artikelnr 217081 : Preis Neu => 5.99, region = 2001
Artikelnr 217093 : Preis Neu => 7.40, region = 2001
Artikelnr 217100 : Preis Neu => 5.95, region = 2001
Artikelnr 217895 : Preis Neu => 0.03, region = 2001
Artikelnr 217925 : Preis Neu => 0.30, region = 2001
Artikelnr 219053 : Preis Neu => 7.64, region = 2001
Artikelnr 219211 : Preis Neu => 0.01, region = 2001
Artikelnr 219235 : Preis Neu => 0.02, region = 2001
Artikelnr 219260 : Preis Neu => 0.01, region = 2001
Artikelnr 219650 : Preis Neu => 0.01, region = 2001
Artikelnr 220424 : Preis Neu => 108.50, region = 2001
Artikelnr 220590 : Preis Neu => 51.13, region = 2001
Artikelnr 220680 : Preis 8.79 => 1.96, region = 2001
Artikelnr 220692 : Preis 2.91 => 1.20, region = 2001
Artikelnr 220710 : Preis Neu => 44.96, region = 2001
Artikelnr 221544 : Preis Neu => 5.05, region = 2001
Artikelnr 221556 : Preis Neu => 6.31, region = 2001
Artikelnr 224831 : Preis 53.71 => 48.34, region = 2001
Artikelnr 225161 : Preis Neu => 16.29, region = 2001
Artikelnr 225240 : Preis 5.82 => 3.99, region = 2001
Artikelnr 225288 : Preis Neu => 20.09, region = 2001
Artikelnr 226724 : Preis Neu => 80.66, region = 2001
Artikelnr 229660 : Preis Neu => 6.75, region = 2001
Artikelnr 230501 : Preis Neu => 113.90, region = 2001
Artikelnr 230604 : Preis Neu => 6.36, region = 2001
Artikelnr 233836 : Preis Neu => 2.19, region = 2001
Artikelnr 234385 : Preis Neu => 6.81, region = 2001
Artikelnr 236047 : Preis Neu => 0.00, region = 2001
Artikelnr 236187 : Preis 19.54 => 25.47, region = 2001
Artikelnr 236795 : Preis 0.19 => 0.12, region = 2001
Artikelnr 236801 : Preis Neu => 0.13, region = 2001
Artikelnr 236813 : Preis 0.30 => 0.32, region = 2001
Artikelnr 237489 : Preis Neu => 203.00, region = 2001
Artikelnr 237490 : Preis Neu => 287.00, region = 2001
Artikelnr 237519 : Preis Neu => 0.01, region = 2001
Artikelnr 237544 : Preis 0.01 => 0.00, region = 2001
Artikelnr 237556 : Preis Neu => 0.00, region = 2001
Artikelnr 237799 : Preis Neu => 0.42, region = 2001
Artikelnr 238081 : Preis 1.08 => 0.83, region = 2001
Artikelnr 238123 : Preis 0.20 => 0.16, region = 2001
Artikelnr 240079 : Preis Neu => 11.15, region = 2001
Artikelnr 240559 : Preis Neu => 0.02, region = 2001
Artikelnr 240584 : Preis Neu => 31.73, region = 2001
Artikelnr 240766 : Preis Neu => 109.31, region = 2001
Artikelnr 240997 : Preis 0.10 => 0.09, region = 2001
Artikelnr 241266 : Preis Neu => 0.11, region = 2001
Artikelnr 241849 : Preis Neu => 1.12, region = 2001
Artikelnr 242386 : Preis Neu => 0.61, region = 2001
Artikelnr 242921 : Preis Neu => 0.28, region = 2001
Artikelnr 243093 : Preis 2.30 => 2.37, region = 2001
Artikelnr 244358 : Preis Neu => 2.72, region = 2001
Artikelnr 245351 : Preis 7.98 => 1.80, region = 2001
Artikelnr 245363 : Preis 2.79 => 1.28, region = 2001
Artikelnr 245491 : Preis Neu => 28.76, region = 2001
Artikelnr 245521 : Preis Neu => 4.11, region = 2001
Artikelnr 245594 : Preis Neu => 4.66, region = 2001
Artikelnr 246008 : Preis Neu => 0.01, region = 2001
Artikelnr 247190 : Preis Neu => 15.34, region = 2001
Artikelnr 247219 : Preis Neu => 15.34, region = 2001
Artikelnr 247220 : Preis 11.38 => 11.61, region = 2001
Artikelnr 247300 : Preis 0.50 => 0.36, region = 2001
Artikelnr 247608 : Preis Neu => 0.05, region = 2001
Artikelnr 247694 : Preis 2.90 => 3.62, region = 2001
Artikelnr 247750 : Preis Neu => 4.16, region = 2001
Artikelnr 249198 : Preis 0.06 => 0.05, region = 2001
Artikelnr 249988 : Preis Neu => 9.93, region = 2001
Artikelnr 249990 : Preis Neu => 18.39, region = 2001
Artikelnr 250028 : Preis Neu => 64.31, region = 2001
Artikelnr 250030 : Preis Neu => 46.05, region = 2001
Artikelnr 250090 : Preis 2.00 => 1.38, region = 2001
Artikelnr 250120 : Preis 0.32 => 0.35, region = 2001
Artikelnr 250697 : Preis Neu => 1.64, region = 2001
Artikelnr 250715 : Preis Neu => 3.63, region = 2001
Artikelnr 250806 : Preis Neu => 0.02, region = 2001
Artikelnr 251367 : Preis Neu => 0.03, region = 2001
Artikelnr 251562 : Preis 13.15 => 10.74, region = 2001
Artikelnr 251744 : Preis Neu => 0.02, region = 2001
Artikelnr 252621 : Preis 8.29 => 7.46, region = 2001
Artikelnr 252633 : Preis 8.29 => 7.46, region = 2001
Artikelnr 252645 : Preis 8.29 => 7.46, region = 2001
Artikelnr 252920 : Preis Neu => 0.36, region = 2001
Artikelnr 253224 : Preis Neu => 0.05, region = 2001
Artikelnr 253273 : Preis Neu => 2.23, region = 2001
Artikelnr 254265 : Preis Neu => 0.66, region = 2001
Artikelnr 254370 : Preis 76.12 => 68.51, region = 2001
Artikelnr 254381 : Preis 130.34 => 117.31, region = 2001
Artikelnr 256213 : Preis 7.09 => 6.40, region = 2001
Artikelnr 290263 : Preis 1.33 => 1.21, region = 2001
Artikelnr 355307 : Preis Neu => 2.30, region = 2001
Artikelnr 357640 : Preis Neu => 0.73, region = 2001
Artikelnr 357663 : Preis Neu => 1.31, region = 2001
Artikelnr 357687 : Preis 2.90 => 3.30, region = 2001
Artikelnr 358114 : Preis Neu => 12.33, region = 2001
Artikelnr 358126 : Preis Neu => 4.97, region = 2001
Artikelnr 358138 : Preis Neu => 0.58, region = 2001
Artikelnr 361737 : Preis 4.77 => 3.93, region = 2001
Artikelnr 367880 : Preis Neu => 5.28, region = 2001
Artikelnr 400930 : Preis Neu => 0.01, region = 2001
Artikelnr 476054 : Preis Neu => 81.00, region = 2001
Artikelnr 479390 : Preis 0.06 => 0.14, region = 2001
Artikelnr 570084 : Preis Neu => 305.19, region = 2001
Artikelnr 570321 : Preis 1.36 => 1.47, region = 2001
Artikelnr 571611 : Preis 3.62 => 4.03, region = 2001
Artikelnr 571740 : Preis 110.03 => 93.92, region = 2001
Artikelnr 571751 : Preis 70.31 => 74.84, region = 2001
Artikelnr 572548 : Preis Neu => 6.23, region = 2001
Artikelnr 572664 : Preis 453.30 => 542.93, region = 2001
Artikelnr 572925 : Preis 178.01 => 221.16, region = 2001
Artikelnr 572937 : Preis 166.25 => 209.39, region = 2001
Artikelnr 573516 : Preis Neu => 0.11, region = 2001
Artikelnr 574600 : Preis 2.78 => 3.10, region = 2001
Artikelnr 574764 : Preis Neu => 0.01, region = 2001
Artikelnr 575215 : Preis Neu => 0.00, region = 2001
Artikelnr 578022 : Preis 39.75 => 35.77, region = 2001
Artikelnr 578708 : Preis 0.47 => 0.65, region = 2001
Artikelnr 580252 : Preis 0.16 => 0.14, region = 2001
Artikelnr 581578 : Preis Neu => 0.26, region = 2001
Artikelnr 581580 : Preis Neu => 0.37, region = 2001
Artikelnr 581591 : Preis Neu => 0.42, region = 2001
Artikelnr 581608 : Preis Neu => 0.60, region = 2001
Artikelnr 582455 : Preis Neu => 0.36, region = 2001
Artikelnr 584476 : Preis Neu => 2.85, region = 2001
Artikelnr 585109 : Preis Neu => 2.72, region = 2001
Artikelnr 585341 : Preis Neu => 0.06, region = 2001
Artikelnr 587490 : Preis 0.05 => 0.03, region = 2001
Artikelnr 588524 : Preis 50.58 => 44.00, region = 2001
Artikelnr 588536 : Preis Neu => 117.71, region = 2001
Artikelnr 588986 : Preis Neu => 42.18, region = 2001
Artikelnr 590857 : Preis 1.05 => 0.86, region = 2001
Artikelnr 591072 : Preis Neu => 0.19, region = 2001
Artikelnr 591310 : Preis Neu => 1.23, region = 2001
Artikelnr 591760 : Preis 1.54 => 1.34, region = 2001
Artikelnr 591898 : Preis 13.56 => 16.31, region = 2001
Artikelnr 594814 : Preis 7.75 => 6.98, region = 2001
Artikelnr 594826 : Preis 7.75 => 6.98, region = 2001
Artikelnr 594838 : Preis 7.75 => 6.98, region = 2001
Artikelnr 594840 : Preis 7.75 => 6.98, region = 2001
Artikelnr 595260 : Preis 15.59 => 14.99, region = 2001
Artikelnr 595600 : Preis Neu => 0.26, region = 2001
Artikelnr 596045 : Preis Neu => 310.87, region = 2001
Artikelnr 596057 : Preis Neu => 824.20, region = 2001
Artikelnr 596793 : Preis Neu => 0.15, region = 2001
Artikelnr 596859 : Preis Neu => 0.35, region = 2001
Artikelnr 596860 : Preis Neu => 0.13, region = 2001
Artikelnr 597505 : Preis 29.71 => 26.74, region = 2001
Artikelnr 599198 : Preis Neu => 4586.29, region = 2001
Artikelnr 601257 : Preis 0.60 => 0.54, region = 2001
Artikelnr 602146 : Preis Neu => 0.26, region = 2001
Artikelnr 603357 : Preis 0.05 => 0.03, region = 2001
